archive,path,temperature_c,pressure_bar,ramp,status,invalid_reason,support_distance,supported,fusion,score_60000,energy_score_60000,confirmed_60000,score_120000,energy_score_120000,confirmed_120000,score_180000,energy_score_180000,confirmed_180000,score_260000,energy_score_260000,confirmed_260000,score_300000,energy_score_300000,confirmed_300000
baseline,T49_Baseline/25-06-04_18-23-23_GW_Baseline_T49_500bar.h5,49,500,random,complete,,0.4998369899811207,True,no_alarm,0.14330960597310746,0.03860971544470106,False,0.24749726429581642,0.08130491844245366,False,0.4055718726345471,0.11563065009457725,False,0.4330943727067539,0.12878793478012085,False,0.5037308250154767,0.07716515234538487,False
baseline,T49_Baseline/25-06-04_18-29-17_GW_Baseline_T49_600bar.h5,49,600,random,complete,,0.5149622821679731,True,no_alarm,0.11935474324439253,0.02068735659122467,False,0.2072702103427478,0.04202994278499058,False,0.377278456730502,0.06492446150098528,False,0.37180743153606144,0.054314449429512024,False,0.4824168724673135,0.06608247118336814,False
baseline,T49_Baseline/25-06-04_18-36-44_GW_Baseline_T49_250bar.h5,49,250,random,complete,,0.5220608702794378,True,no_alarm,0.13477641131196702,0.04565131877149854,False,0.2590604935373579,0.07998902031353541,False,0.2852386917386736,0.09688464019979749,False,0.35768844932317734,0.10237351059913635,False,0.4542503261140415,0.08285242744854518,False
baseline,T49_Baseline/25-06-04_18-53-17_GW_Baseline_T49_450bar.h5,49,450,random,complete,,0.48412603414116784,True,no_alarm,0.15231050284845488,0.05188546861921038,False,0.27891012174742563,0.10842379927635193,False,0.38686056222234455,0.14937170275620051,False,0.44825414781059536,0.1913451233080455,False,0.5168504055057254,0.11919933770384107,False
baseline,T49_Baseline/25-06-04_18-58-35_GW_Baseline_T49_400bar.h5,49,400,random,complete,,0.45919350575029866,True,no_alarm,0.11209739185869694,0.04240533496652331,False,0.22547912704093115,0.08391470994268145,False,0.31956030428409576,0.11655495635100774,False,0.3709181621670723,0.14077941008976527,False,0.46974724531173706,0.11581068379538399,False
baseline,T49_Baseline/25-06-04_19-03-56_GW_Baseline_T49_50bar.h5,49,50,random,complete,,0.584255678390243,True,no_alarm,0.10742357293409961,0.016162548746381487,False,0.17723684970821654,0.030246236494609287,False,0.2602005127285208,0.03248576394149235,False,0.425926930138043,0.03853514577661242,False,0.3977175397532327,0.049888470343181064,False
baseline,T49_Baseline/25-06-04_19-09-17_GW_Baseline_T49_200bar.h5,49,200,random,complete,,0.4777546599314374,True,no_alarm,0.1564272152526038,0.11163512723786491,False,0.33812482761485235,0.17326833520616805,False,0.35543967357703615,0.1727191890989031,False,0.41952004922287806,0.24105091392993927,False,0.47610615513154436,0.2859503562961306,False
irreversible,T49_Irreversible_Damage/25-06-17_08-06-37_GW_ID_T49_700bar.h5,49,700,descending,complete,,0.5926753799708158,True,alarm,0.25442711849297794,0.11826575441019875,False,0.4997362175158092,0.2182453998497554,True,0.7892717442342213,0.22660312908036367,True,0.733164057135582,0.4322490394115448,False,0.7429060829537255,0.4160339172397341,True
irreversible,T49_Irreversible_Damage/25-06-17_08-13-04_GW_ID_T49_650bar.h5,49,650,descending,complete,,0.5775804530616544,True,alarm,0.2541721723973751,0.11616999975272588,False,0.5022559325609889,0.2209277323314122,True,0.7928306651966912,0.21463763075215475,True,0.7129928192922047,0.4211500095469611,False,0.7409082118953977,0.4053307729107993,True
irreversible,T49_Irreversible_Damage/25-06-17_08-19-40_GW_ID_T49_600bar.h5,49,600,descending,complete,,0.5731991835949796,True,alarm,0.25509597307869364,0.11228792369365692,False,0.513723332967077,0.2180819639137813,True,0.7886149798120771,0.20121939267430985,True,0.701486200094223,0.40566584042140413,False,0.7336138210126332,0.3956644598926817,True
